Procedimiento:,Motivo del llamado:,Tipo:,Área:,Subárea:,Estado:,Tiempo de respuesta:,Campo descripción:,Importante
STARLINK,"Sin plan compatible o con plan antiguo",Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente sin equipo compatible,"<strong><span style=""color:#005CFF;"">🔔 1.2.4 Validar plan y bolsas — Starlink</span></strong><br><br>En OneTouch, ingresa a la sección <strong>Detalle del plan</strong> y verifica si el cliente cuenta con un plan compatible con el servicio de red satelital.<br><br><strong><span style=""color:#10069F;"">🔹 Validación de plan</span></strong><br>Confirma que el plan sea compatible con Starlink. Si lo es, continúa revisando las bolsas disponibles.<br><br><strong><span style=""color:#10069F;"">🔹 Validación de bolsas</span></strong><br>En la pestaña <strong>“Bolsas OneShot”</strong>, revisa que el cliente tenga activas las bolsas de <strong>Datos</strong> y <strong>WhatsApp Starlink</strong> necesarias para la navegación.<br><strong><span style=""color:#42E8B4;"">📌 Nota:</span></strong> Para utilizar el servicio satelital, el cliente debe contar con <strong>plan compatible + bolsas activas (Datos y WhatsApp)</strong>.<br><br>Si el cliente tiene plan compatible y bolsas activas, debes revisar el consumo y validar que aún tenga datos disponibles.<br><br><strong><span style=""color:#10069F;"">🔹 Si NO tiene plan compatible o tiene plan antiguo</span></strong><br>Debes informar al cliente y orientar una solución comercial:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), estoy revisando y tu plan no es compatible con la cobertura satelital, y esa es la razón por la cual no puedes acceder al servicio. Si quieres, puedo ayudarte a revisar los planes compatibles y ver la mejor opción para que puedas utilizar esta funcionalidad.”</span></strong></em><br><br>Indica que, una vez que cuente con un plan compatible y las bolsas activas, podrá hacer uso del servicio.<br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente sin plan compatible.<br><br><strong><span style=""color:#10069F;"">🔹 Cierre de atención</span></strong><br>Si el cliente no realiza cambio de plan, finaliza la atención. Si acepta, continúa con la gestión comercial correspondiente.<br><br><strong><span style=""color:#10069F;"">🔹 Si cumple con plan y bolsas</span></strong><br>Si el cliente cuenta con plan compatible, bolsas activas y datos disponibles, debes continuar con la siguiente validación del flujo.<br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Requiere bolsa,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente requiere plan compatible y/o activación de bolsas,"<strong><span style=""color:#10069F;"">🔹 Si el cliente NO tiene bolsas activas (Datos / WhatsApp Starlink)</span></strong><br>Si al validar identificas que el cliente no cuenta con bolsas activas de datos o WhatsApp para el uso de la red satelital, debes informarle que es necesario adquirirlas para poder utilizar el servicio.<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), estoy revisando y en este momento no cuentas con las bolsas necesarias para utilizar la cobertura satelital. Para poder navegar, es necesario activar las bolsas de datos y/o WhatsApp Starlink, las cuales se cargan directamente a tu boleta. Si quieres, puedo ayudarte a activarlas ahora mismo.”</span></strong></em><br><br>Realiza la venta desde la sección <strong>“Bolsas”</strong> en OneTouch.<br><br><strong><span style=""color:#10069F;"">🔹 Si el cliente NO desea adquirir las bolsas</span></strong><br>Indica otros canales disponibles para la compra:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), si prefieres, también puedes adquirir estas bolsas directamente desde la App Entel o a través de nuestro canal de WhatsApp cuando lo necesites.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente requiere activación de bolsas y/o plan compatible.<br><br><strong><span style=""color:#10069F;"">🔹 Continuidad del flujo</span></strong><br>Si el cliente cuenta con plan compatible y bolsas activas, debes continuar con las siguientes validaciones del procedimiento."
STARLINK,Datos Roaming con restricción (bloqueados),NA,NA,NA,NA,NA,NA,"<strong><span style=""color:#005CFF;"">🔔 1.3 Validar restricciones de Roaming — Starlink</span></strong><br><br>Para que el cliente pueda utilizar la navegación en red satelital, es necesario validar que no tenga restricciones en el servicio de <strong>Datos Roaming</strong>.<br><strong><span style=""color:#42E8B4;"">📌 Nota:</span></strong> El servicio de Datos Roaming debe estar <strong>desbloqueado</strong> en OneTouch para permitir el uso de Starlink.<br><br><strong><span style=""color:#10069F;"">🔹 Revisión de restricciones</span></strong><br>Ingresa a OneTouch, en la sección <strong>“Restricciones”</strong>, selecciona la pestaña <strong>“Roaming”</strong> y valida el estado del servicio.<br><br><strong><span style=""color:#10069F;"">🔹 Si Datos Roaming está BLOQUEADO</span></strong><br>Debes gestionar el desbloqueo desde la misma pantalla:<br>Selecciona <strong>“Modificar restricciones”</strong>, marca las opciones correspondientes (<strong>Voz, Roaming, Datos, LDI, SMS</strong>) y presiona <strong>“Confirmar”</strong>.<br>Luego, en la sección Roaming, cambia el estado de <strong>Datos Roaming</strong> de bloqueado (gris) a desbloqueado (azul) y presiona <strong>“Continuar”</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Confirmación al cliente</span></strong><br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), acabo de habilitar el uso de datos en roaming en tu línea. Con esto ya deberías poder utilizar la conectividad satelital si cumples con las demás condiciones del servicio.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Continuidad del flujo</span></strong><br>Una vez realizado el desbloqueo, debes continuar con la siguiente validación del procedimiento.<br><br><strong><span style=""color:#10069F;"">🔹 Si Datos Roaming está DESBLOQUEADO</span></strong><br>Si el servicio ya se encuentra activo, debes continuar con la siguiente validación del flujo.<br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento de apoyo:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/desbloqueo-de-servicios-roaming-y-ldi-caja-roaming"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Desbloqueo de servicios Roaming y LDI</a><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,No tiene el software actualizado,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente requiere software actualizado,"<strong><span style=""color:#005CFF;"">🔔 1.4 Verificar configuración del equipo — Starlink</span></strong><br><br>Para que el servicio funcione correctamente, el cliente debe contar con equipo compatible, software actualizado y configuraciones activas como roaming y VoLTE.<br><br><strong><span style=""color:#10069F;"">🔹 Validación general</span></strong><br>Revisa junto al cliente que su equipo tenga habilitadas las opciones necesarias: soporte satelital, roaming nacional activo y VoLTE habilitado.<br><br><strong><span style=""color:#10069F;"">🔹 1.4.1 Validar software actualizado</span></strong><br>Confirma que el equipo tenga una versión de software compatible con la red satelital.<br><br><strong><span style=""color:#10069F;"">📱 Android</span></strong><br>Indica al cliente ingresar a <strong>Ajustes &gt; Conexiones</strong> y verificar si aparecen opciones como <strong>“Redes satelitales”</strong>, <strong>“Conexión satelital”</strong> u otra similar. Esto indica compatibilidad con el servicio.<br><br><strong><span style=""color:#10069F;"">🍎 iPhone (iOS)</span></strong><br>Valida que no tenga actualizaciones pendientes. Considera que:<br>• SMS satelitales disponibles desde versión <strong>26.2</strong><br>• Aplicaciones compatibles desde versión <strong>26.6</strong><br><br><strong><span style=""color:#10069F;"">🔹 Si el equipo NO tiene software actualizado</span></strong><br>Debes indicar al cliente que debe actualizar su equipo para poder utilizar el servicio:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), estoy revisando y tu equipo tiene una actualización de software pendiente, y por eso no puedes utilizar la cobertura satelital. Es importante que actualices a la versión más reciente y luego verifiques que tengas activado el roaming y VoLTE en tu equipo.”</span></strong></em><br><br>Indica además que, una vez actualizado, puede ingresar a la App Entel y seleccionar el ícono de satélite para revisar su estado del servicio.<br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente requiere software actualizado.<br><br><strong><span style=""color:#10069F;"">🔹 Cierre de atención</span></strong><br>Si el cliente debe actualizar su equipo, finaliza la atención indicando los pasos a seguir.<br><br><strong><span style=""color:#10069F;"">🔹 Si el equipo tiene software actualizado</span></strong><br>Si el equipo cumple con la versión requerida, debes continuar con la siguiente validación del flujo (configuración de roaming nacional y VoLTE).<br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,No tiene Roaming y VoLTE configurado en equipo,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente sin Roaming/VoLTE en equipo,"<strong><span style=""color:#005CFF;"">🔔 1.4.2 Validar configuración de Roaming nacional y VoLTE</span></strong><br><br>Para utilizar la red satelital, es necesario que el equipo del cliente tenga activadas las funciones de <strong>Roaming nacional</strong> y <strong>VoLTE</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Validación en el equipo</span></strong><br>Indica al cliente ingresar a los ajustes del celular, luego a <strong>Redes móviles</strong> y verificar que se encuentren activadas las opciones de <strong>Roaming</strong> y <strong>Llamadas VoLTE</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Si NO tiene Roaming y/o VoLTE activado</span></strong><br>Debes guiar al cliente para realizar la configuración en su equipo:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), para que puedas utilizar la cobertura satelital, es necesario que actives el roaming y las llamadas VoLTE en tu equipo. Te guío paso a paso: ingresa a ajustes, luego a redes móviles y activa ambas opciones. Me quedo contigo mientras lo realizas.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente sin Roaming y/o VoLTE activo en el equipo.<br><br><strong><span style=""color:#10069F;"">🔹 Cierre de atención</span></strong><br>Si el cliente realiza la configuración, finaliza la atención validando que el servicio debería funcionar correctamente.<br><br><strong><span style=""color:#10069F;"">🔹 Si tiene Roaming y VoLTE correctamente configurado</span></strong><br>Si ambas funciones están activas y el problema persiste, debes continuar con la siguiente actividad del flujo: <strong>2. Gestionar la dificultad</strong>.<br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Requerimiento anterior en curso,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente con ticket anterior en curso,"<strong><span style=""color:#005CFF;"">🔔 2. Gestionar dificultad — Starlink</span></strong><br><br>Una vez validado que el cliente cumple con todos los requisitos para conectarse a la red satelital, si el problema persiste, debes identificar el tipo de dificultad que presenta.<br><br>Si la dificultad es en navegación de datos en red satelital, continúa en el flujo 2.1. Si corresponde a aplicaciones compatibles, debes continuar en el flujo 2.2.<br><br><br><strong><span style=""color:#005CFF;"">🔔 2.1 Dificultad para navegar en red satelital</span></strong><br><br>Si el cliente indica que no puede navegar en la red satelital, debes continuar con la revisión de antecedentes del caso.<br><br><strong><span style=""color:#10069F;"">🔹 2.1.1 Revisar solicitudes de servicio anteriores</span></strong><br>Revisa en OneTouch o Siebel si existen requerimientos previos asociados al mismo inconveniente.<br><br><strong><span style=""color:#10069F;"">🔹 Si existe requerimiento anterior NO resuelto</span></strong><br>Ingresa al ticket, valida su estado y revisa la fecha de apertura.<br><br>Si han pasado más de <strong>5 días hábiles</strong>, debes identificar si corresponde a un <strong>Reclamo</strong> o <strong>Problema</strong>:<br><br><strong><span style=""color:#10069F;"">▪ Reclamo</span></strong><br>Debes escalar el caso a tu supervisor para gestión interna y alertar incumplimiento de plazo.<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), te pido disculpas porque aún no contamos con la resolución de tu reclamo. Voy a insistir con el área técnica para que lo revisen con prioridad.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">▪ Problema</span></strong><br>Indica que el caso continúa en análisis por el área técnica:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), tu caso aún se encuentra en revisión por el área técnica. Voy a insistir para que podamos tener una respuesta lo antes posible.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Si el requerimiento está dentro del plazo</span></strong><br>Debes informar el estado y plazo estimado:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), tu solicitud se encuentra en revisión y deberías recibir una respuesta en el plazo informado.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente con ticket anterior en curso.<br><br><strong><span style=""color:#10069F;"">🔹 Cierre de atención</span></strong><br>Una vez informado el estado del requerimiento, finaliza la atención.<br><br><strong><span style=""color:#10069F;"">🔹 Si el requerimiento anterior está RESUELTO</span></strong><br>Debes revisar la solución entregada y sondear con el cliente si el problema actual corresponde al mismo caso. Luego continúa con el paso <strong>2.1.2 Revisar mapa de red</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Si NO existe requerimiento anterior</span></strong><br>Debes continuar con el paso <strong>2.1.2 Revisar mapa de red</strong>.<br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Revisar Mapa de Red y verificar si hay contingencia informada,NA,NA,NA,NA,NA,NA,"<strong><span style=""color:#005CFF;"">🔔 2.1.2 Revisar Mapa de Red</span></strong><br><br>Para iniciar, debes validar con el cliente la ubicación exacta donde ocurre el inconveniente, asegurando que estás revisando la zona correcta.<br><br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), por favor indícame o confírmame tu dirección y comuna: (mencionar dirección).”</span></strong></em><br><br>Confirma además referencias de ubicación:<br><em><strong><span style=""color:#FD6C98;"">“¿Esto es entre (calles paralelas / calle principal / punto de referencia)?”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Búsqueda en OneTouch</span></strong><br>En la vista general, ingresa a la pestaña <strong>“Mapa de Red”</strong>, realiza la búsqueda por dirección o coordenadas y presiona <strong>“Buscar”</strong>.<br><br>Luego selecciona la ubicación en el mapa para obtener los datos de <strong>latitud y longitud</strong> en formato decimal.<br><br><strong><span style=""color:#10069F;"">🔹 Resultado</span></strong><br>Una vez obtenidas las coordenadas del lugar donde ocurrió el inconveniente, debes continuar con la siguiente validación del flujo.<br><br><br><strong><span style=""color:#005CFF;"">🔔 2.1.3 Verificar contingencias en el servicio</span></strong><br><br>Revisa en Siebel si existe alguna contingencia activa asociada al servicio satelital (Starlink).<br><br><strong><span style=""color:#10069F;"">🔹 Si EXISTE contingencia</span></strong><br>Debes ingresar a la contingencia, revisar el detalle y aplicar el protocolo indicado al cliente.<br><br>Copia el número de la contingencia y continúa con el paso <strong>2.1.4 Ingresar ticket en Siebel</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Si NO existe contingencia</span></strong><br>Debes continuar igualmente con el paso <strong>2.1.4 Ingresar ticket en Siebel</strong> para escalar el caso.<br><br><strong><span style=""color:#10069F;"">🔹 Apoyo</span></strong><br>Para revisar el detalle de contingencias, puedes apoyarte en el procedimiento:<br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/busqueda-de-contingencias-en-siebel"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Búsqueda de contingencias en Siebel</a><br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Ingresar ticket en Siebel,Problema,Validación Red,Nav Dificultad en red Starlink,Cerrado + ctrl “s”,NA,Plan actual: <br>Número afectado <br>Número contacto adicional: <br>Latitud: <br>Longitud: <br>Fecha y hora de ocurrencia: <br>Descripción del problema:,"<strong><span style=""color:#005CFF;"">🔔 2.1.4 Ingresar ticket en Siebel</span></strong><br><br>Si ya realizaste todas las validaciones del flujo y no logras identificar el origen del problema, debes escalar el caso registrando un ticket para análisis del área de redes.<br><br><strong><span style=""color:#10069F;"">🔹 Creación de ticket</span></strong><br>Ingresa un requerimiento en Siebel con la siguiente información:<br><br><strong>Tipo:</strong> Problema<br><strong>Área:</strong> Validación Red<br><strong>SubÁrea:</strong> Nav Dificultad en red Starlink<br><br><strong>Descripción:</strong><br>Plan actual<br>Número afectado<br>Número de contacto adicional<br>Latitud<br>Longitud<br>Fecha y hora de ocurrencia<br>Detalle del problema reportado por el cliente<br><br><strong><span style=""color:#10069F;"">🔹 Asociación de contingencia</span></strong><br>Si identificaste una contingencia durante la validación, debes asociarla al ticket ingresando el ID en el campo <strong>“N° de Contingencia”</strong>. Esto permitirá vincular el caso a una situación ya detectada y aplicar el protocolo correspondiente.<br><br><strong><span style=""color:#10069F;"">🔹 Cierre de ticket</span></strong><br>Una vez creado el requerimiento, cambia su estado a <strong>“Cerrado”</strong>.<br><br><strong><span style=""color:#10069F;"">🔹 Comunicación al cliente</span></strong><br>Finaliza la atención informando el resultado de las validaciones realizadas:<br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), ya realicé todas las validaciones y configuraciones posibles en nuestros sistemas, y puedo confirmar que tanto tu servicio como tu equipo se encuentran correctamente configurados. Voy a dejar registrado tu caso para que nuestro equipo técnico lo analice en detalle.”</span></strong></em><br><br>Refuerza además el uso de herramientas de autogestión:<br><em><strong><span style=""color:#FD6C98;"">“Recuerda que puedes revisar tu información personalizada sobre Starlink en la App Entel, ingresando al ícono del satélite.”</span></strong></em><br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Ingresar reclamo en Siebel,Reclamo,Navegación/comunicación voz,Dificultad servicio Starlink,Pendiente + ctrl “s”,5 Días Hábiles,Plan actual: <br>Número afectado <br>Número contacto adicional: <br>Latitud: <br>Longitud: <br>Fecha y hora de ocurrencia: <br>Descripción del problema:,"<strong><span style=""color:#005CFF;"">🔔 Ingreso de Reclamo — Starlink (solo si el cliente lo solicita)</span></strong><br><br><strong>Nota:</strong> Este flujo aplica únicamente si el cliente manifiesta expresamente que desea ingresar un reclamo y no es posible resolver su caso en línea.<br><br><strong><span style=""color:#10069F;"">🔹 Consideraciones obligatorias</span></strong><br>Debes informar al cliente:<br>• Número de reclamo asignado<br>• Plazo máximo de resolución de <strong>5 días hábiles</strong><br>• Posibles resultados: <strong>acogido, no acogido o parcialmente acogido</strong>, según evaluación del área técnica<br><br><strong><span style=""color:#10069F;"">🔹 Registro de información</span></strong><br>Completa correctamente los datos en el ticket:<br>• Datos de contacto: Nombre, teléfono y correo electrónico<br>• Datos de ubicación: Región, Provincia y Comuna<br>• Si no cuenta con número adicional, registrar: <strong>“Sin número adicional”</strong><br><br><strong><span style=""color:#10069F;"">🔹 Asociación de contingencia</span></strong><br>Si el caso corresponde a una contingencia, debes asociarla en el campo <strong>“N° de Contingencia”</strong> ingresando el ID correspondiente.<br><br><strong><span style=""color:#10069F;"">🔹 Creación de solicitud en Siebel</span></strong><br><strong>Tipo:</strong> Reclamo<br><strong>Área:</strong> Navegación / comunicación voz<br><strong>Subárea:</strong> Dificultad servicio Starlink<br><strong>Estado:</strong> Pendiente<br><br><strong>Descripción:</strong><br>Plan actual<br>Número afectado<br>Número de contacto adicional<br>Latitud<br>Longitud<br>Fecha y hora de ocurrencia<br>Detalle del problema reportado<br><br><strong><span style=""color:#10069F;"">🔹 Comunicación al cliente</span></strong><br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), de acuerdo con lo que me indicas, ingresaré un reclamo por esta situación. Por favor toma nota del número asignado: (XXXXXX). Te comento que el plazo de respuesta es de un máximo de 5 días hábiles, y la resolución será entregada por nuestra área técnica dentro de este plazo.”</span></strong></em><br><br>Refuerza el uso de canales de autogestión:<br><em><strong><span style=""color:#FD6C98;"">“Recuerda que puedes revisar tu información personalizada sobre Starlink en la App Entel, ingresando al ícono del satélite.”</span></strong></em><br><br><br><strong><span style=""color:#005CFF;"">📎 Procedimiento oficial:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/cr-procedimiento-dificultades-de-navegacion-internet-movil-red-satelital-starlink"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Dificultades de navegación internet móvil red satelital Starlink</a>"
STARLINK,Aplicación compatible con red satelital,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente con problema de aplicación compatible,"<strong><span style=""color:#005CFF;"">🔔 2.2 Dificultad para navegar con aplicaciones compatibles</span></strong><br><br>Si el cliente indica que presenta problemas al usar aplicaciones en la red satelital, primero debes validar si la aplicación es compatible con el servicio.<br><br><strong><span style=""color:#10069F;"">🔹 Aplicaciones compatibles</span></strong><br>• X (Twitter)<br>• Google Maps<br>• Mapas (iOS)<br>• Accuweather<br>• WhatsApp (uso exclusivo en red satelital con cuota incluida en planes compatibles)<br><br><strong><span style=""color:#10069F;"">🔹 Si la aplicación ES compatible</span></strong><br>Consulta al cliente qué error o mensaje aparece al intentar utilizarla.<br><br>Luego, sugiérele desinstalar y volver a instalar la aplicación, ya que puede tratarse de una inestabilidad propia de esta.<br><br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), por lo que me comentas no se trata de un problema de cobertura satelital, sino de la aplicación. Es posible que haya tenido una inestabilidad, ya que tu equipo sí logró conectarse correctamente al satélite.”</span></strong></em><br><br>Si el problema se resuelve, tipifica la atención en OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente con problema en aplicación compatible.<br><br>Luego finaliza la atención."
STARLINK,Aplicación NO compatible con red satelital,Consulta,General,Starlink,Cerrado + ctrl “s”,NA,Nombre del titular: <br>RUT: <br>Líneas: <br>Cliente con problema de aplicación no compatible,"<strong><span style=""color:#005CFF;"">🔔 2.2 Aplicación no compatible con red satelital</span></strong><br><br>Si la aplicación indicada por el cliente no se encuentra dentro de las aplicaciones compatibles con la red satelital, debes informarle que no podrá utilizarla mediante este servicio.<br><br><em><strong><span style=""color:#FD6C98;"">“(nombre del cliente), la aplicación que mencionas actualmente no es compatible con la cobertura satelital, por eso no te funciona. Recuerda que las aplicaciones compatibles son: X (Twitter), Google Maps, Mapas (iOS), Accuweather y WhatsApp.”</span></strong></em><br><br><strong><span style=""color:#10069F;"">🔹 Tipificación</span></strong><br>Registra la gestión en la vista 360 de OneTouch:<br><strong>Tipo:</strong> Consulta<br><strong>Área:</strong> General<br><strong>Subárea:</strong> Starlink<br><strong>Descripción:</strong> Nombre del titular, RUT, líneas asociadas y cliente con problema de aplicación no compatible.<br><br>Luego finaliza la atención."
UNIFICACIÓN DE CUENTAS,Cliente solicita Unificación de cuentas para Regularizar su facturación,Problema,Cargo fijo,Cobros promocionales,Pendiente + ctrl “s”,N/A,UNIFICACION CUENTA<br>Argumentar Motivo de la solicitud: <br>-Líneas o servicios y perfiles de facturación: ,"<strong><span style=""color:#FF3D00;"">⚠️ Importante:</span></strong><br><br>➖Cliente debe tener más de un perfil de facturación del mismo tipo (prepago o pospago, móvil o hogar).<br>➖No es factible unificar servicios hogar y móvil en la misma boleta.<br>➖Cliente debe tener ambos perfiles en estado activo.<br>➖No es necesario que los perfiles tengan el mismo ciclo de facturación.<br>➖El perfil podría estar en estado prospecto o activo para recibir un móvil.<br>➖No tener órdenes en curso (En progreso).<br>➖Cuenta (Perfil) suspendido: No es factible continuar con la unificación de cuenta."
VENTA WEB,Compra SIN stock,Problema o Reclamo,Venta Web,Compra sin Stock,Pendiente + ctrl “s”,5 Días Hábiles,Número de orden: <br>RUT: <br>Nombre: <br>Teléfono: <br>Correo electrónico: ,N/A
DEVOLUCIÓN DE VALORES,Devolución de valores / NO se dispone de actividad,Problema o Reclamo,Venta Web,Devolución de Valores,Pendiente + ctrl “s”,5 Días Hábiles,"Móvil<br>Detallar que Actividad fue cerrada sin generar devolución (indicar si posee SS) <br>• RUT: <br>• Nombre: <br>• Boleta: <br>• Fecha: <br>• N° Orden de anulación/ cancelación: <br>• Medio de pago: TC, TD, EF <br>• Monto por devolver: $<br>• PDV donde se hizo la anulación/cancelación <br>• Teléfono contacto: <br>• Correo electrónico del Cliente: ","En los casos que no se disponga de una actividad tipo Back Recaudación, Back Recaudación Manual o Back Recaudación Crédito Tienda para la devolución de valores, ingresa Ticket a Siebel.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/revision-estado-devolucion-de-valores"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖Revisión estado Devolución de Valores</a><br>"
